วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
13/8/2569,-,กิจกรรมกีฬาสีภายในสถานศึกษา พิธีปิดการแข่งขัน (ไม่มีการเรียนการสอน),18megIoeQLVso1uwZrpCxVjofS9aO0Kk2,1,15
14/8/2569,-,สรุปประเมินผลกิจกรรมกีฬาสี และจัดเก็บอุปกรณ์กีฬา,1ezL5bfaicHmXec0FimBTbLfRPFlNJd74,1,15
17/8/2569,-,กิจกรรม Homeroom พบปะนักเรียน และติดตามความพร้อมเครื่องเซิร์ฟเวอร์,14FrJQbKmfFSfqmOZf-Yj3UGetRhWyD8d,1,16
18/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,แนะนำแนวคิดเทคโนโลยี Virtualization และ Type-1 / Type-2 Hypervisor,,1,16
19/8/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 6.3 คำสั่ง switch...case และทำใบงานที่ 6.2 (โปรแกรมเมนูเครื่องดื่ม),,1,16
20/8/2569,-,ปฏิบัติหน้าที่ครูเวรดูแลนักเรียน,,1,16
21/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,"แนะนำหลักการทำงานของ Proxmox VE, ISO Image และการจัดสรร Disk/Network",,1,16
24/8/2569,-,ควบคุมแถวหน้าเสาธง และจัดเตรียมห้องปฏิบัติการ,,1,17
25/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อ การติดตั้ง Proxmox VE และการสร้าง Container (LXC / Docker) บนเซิร์ฟเวอร์,,1,17
26/8/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 7.1 คำสั่งวนซ้ำ for 7.2 คำสั่ง while 7.3 คำสั่ง do...while และทำใบงานที่ 7.1 - 7.2,,1,17
27/8/2569,-,เข้าร่วมประชุมประจำสัปดาห์ แผนกวิชาเทคโนโลยีสารสนเทศ,,1,17
28/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ปฏิบัติการทดลอง Deploy Web Application และ Database บน Proxmox Container,,1,17
31/8/2569,-,กิจกรรม Homeroom พบปะนักเรียน และสรุปเนื้อหาตลอดภาคเรียน,,1,18
1/9/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ประเมินผลลัพธ์การเรียนรู้ระดับรายวิชา (สอบปลายภาค),,1,18
2/9/2569,-,ลากิจ,,1,18
3/9/2569,-,ตรวจสอบคะแนนและแจ้งผลการเรียนเบื้องต้นแก่นักเรียน,,1,18
4/9/2569,-,ส่งผลการเรียนและสรุปผลการปฏิบัติการสอนประจำภาคเรียนที่ 1/2569,,1,18
